,videoId,uploader,uploader_id,uploader_url,channel_id,channel_url,upload_date,license,creator,title,description,categories,tags,duration,age_limit,annotations,chapters,videoLink,view_count,like_count,dislike_count,average_rating,is_live,start_time,end_time,series,playlist,playlist_index
0,YOj8aLhe2rQ,madmixmustang,MadMixMustang,http://www.youtube.com/user/MadMixMustang,UCsqavzHUkueT2-subBn6xTw,http://www.youtube.com/channel/UCsqavzHUkueT2-subBn6xTw,2011-08-26,,,"alice cooper vs earth, wind & fire (mashup by madmixmustang)","alice cooper - school's out  vs  earth, wind & fire - boogie wonderland
mashup by [mmm] madmixmustang: http://www.facebook.com/madmixmustang
find the free mp3 download on: http://www.madmixmustang.nl

(copyrights of all music and movie extracts are the property of the original artists concerned)",['Music'],['AliceInBoogieWonderland'],244,0,,,https://www.youtube.com/watch?v=YOj8aLhe2rQ,426220,2933,129.0,4.8314829,,,,,,
1,s8Kzqzd5IT4,cris lun,UCs_ZTT5iD3Nf3bnJA2XU3hQ,http://www.youtube.com/channel/UCs_ZTT5iD3Nf3bnJA2XU3hQ,UCs_ZTT5iD3Nf3bnJA2XU3hQ,http://www.youtube.com/channel/UCs_ZTT5iD3Nf3bnJA2XU3hQ,2016-01-23,,,nelly vs  bee gees   stayin hot lobste,,['People & Blogs'],,256,0,,,https://www.youtube.com/watch?v=s8Kzqzd5IT4,303330,4509,78.0,4.9319816,,,,,,
2,17hoFewb2K8,steve redman,UCexLFMnWZIUUUNGkpIKfAUA,http://www.youtube.com/channel/UCexLFMnWZIUUUNGkpIKfAUA,UCexLFMnWZIUUUNGkpIKfAUA,http://www.youtube.com/channel/UCexLFMnWZIUUUNGkpIKfAUA,2015-10-07,,,with a little help from sublime (beatles vs sublime),,['People & Blogs'],,277,0,,,https://www.youtube.com/watch?v=17hoFewb2K8,307,4,,5.0,,,,,,
3,d_O2Pol8gMs,mark vidler,markv1967,http://www.youtube.com/user/markv1967,UCTWt9LZBupQ6_Ss9rsoihJw,http://www.youtube.com/channel/UCTWt9LZBupQ6_Ss9rsoihJw,2010-08-12,,,go home productions - downtown octopus (petula clark vs the beatles),"new mark vidler/go home productions mix. petula clark ""downtown"" vs the beatles ""octopus's garden""
more info: http://www.gohomeproductions.co.uk/downloads.html",['Music'],"['GHP', 'Go Home Productions', 'Petula Clark', 'Downtown', 'The Beatles', 'Abbey Road', ""Octopus's Garden"", 'Ringo', 'mash-up', 'mark vidler', 'gohomeproductions', 'vs']",179,0,,,https://www.youtube.com/watch?v=d_O2Pol8gMs,62209,379,14.0,4.8575063,,,,,,
4,rxxPkakYPIQ,indychauffuer,indychauffuer,http://www.youtube.com/user/indychauffuer,UCMVLTYqvRhUWrZPBDAkCqfg,http://www.youtube.com/channel/UCMVLTYqvRhUWrZPBDAkCqfg,2010-11-27,,,cypress hill  johnny cash,i do not own the music nor the images you see in the video.  it its a tribute to the artists and the person responsible for the mashup,['Music'],"['Cypress Hill', 'Johnny Cash', 'mashup']",132,0,,,https://www.youtube.com/watch?v=rxxPkakYPIQ,459685,4514,177.0,4.8490725,,,,,,
5,eXz0bDnMf0I,qwwoo,qwwoo,http://www.youtube.com/user/qwwoo,UCHpxd2ugCikXkXmkdbxURvA,http://www.youtube.com/channel/UCHpxd2ugCikXkXmkdbxURvA,2010-01-04,,,white stripes vs nirvana 7 nation teen spirit (dj bootoxs panic version),"a great mashup!
credits go to nirvana, the white stripes and dj bootox

check out more of his work!
https://soundcloud.com/bootox

http://djbootox.blogspot.nl/

http://www.facebook.com/djbootox

http://www.youtube.com/user/djbootox/

https://twitter.com/#!/djbootox",['Music'],"['White', 'Stripes', 'vs', 'Nirvana', 'Nation', 'Teen', 'Spirit', 'DJ', 'BootOXs', 'Panic', 'version']",263,0,,,https://www.youtube.com/watch?v=eXz0bDnMf0I,1944458,24473,829.0,4.8689432,,,,,,
6,52BlQLuBNYA,herbert wehner,H3rb3rtW3hn3r,http://www.youtube.com/user/H3rb3rtW3hn3r,UCw7hbQiGerh1SNuNDKom1jw,http://www.youtube.com/channel/UCw7hbQiGerh1SNuNDKom1jw,2012-12-10,,Johnny Cash,johnny cash vs cypress hill,,['People & Blogs'],"['johnny', 'cash', 'vs', 'cypress', 'hill']",104,0,,,https://www.youtube.com/watch?v=52BlQLuBNYA,811,6,,5.0,,,,,,
7,NN75im_us4k,thriftshop xl,thriftshopxl,http://www.youtube.com/user/thriftshopxl,UCzdi9G9ilspYXVT35FtY37w,http://www.youtube.com/channel/UCzdi9G9ilspYXVT35FtY37w,2009-07-02,,,nirvana vs rick astley - never gonna give your teen spirit up,"mp3 - http://djmorgoth.blogspot.com


rickroll'd?

it looks like it, doesn't it? i bet you all thought this rickrolling thing had died down - well, you were wrong. like the that little toy animal, stuffed full of batteries, with the drums it just keeps on going.

dj morgoth is an excellent mashup creator and dj based in germany. he runs an awesome night called mashup your bootz.

he made this great mashup, so i made a video of it for him.

nirvana - smells like teen spirit

versus

rick astley - never gonna give you up",['News & Politics'],"['morgoth', 'thriftshopxl', 'thriftshop', 'xl', 'mashup', 'your', 'bootz', 'bootie', 'eotmc', 'end', 'month', 'club', 'klub21', 'klub', 'glasgow', 'alloa', 'germany', 'deutschland', 'bootleg', 'bastard', 'pop', 'gybo', 'pwl', 'subpop', 'seattle', 'rick', 'roll', 'rickroll', 'rickrolld', 'rickrolled', 'rolled', 'rolld', ""roll'd""]",229,0,,,https://www.youtube.com/watch?v=NN75im_us4k,5805137,132525,3040.0,4.9103012,,,,,,
8,Qf5o-8eZdag,mark vidler,markv1967,http://www.youtube.com/user/markv1967,UCTWt9LZBupQ6_Ss9rsoihJw,http://www.youtube.com/channel/UCTWt9LZBupQ6_Ss9rsoihJw,2008-05-01,,Queen,"go home productions ""paranoid rock"" queen-black sabbath","track 9 from go home productions ""spliced krispies"" album.
more info: http://www.gohomeproductions.co.uk/downloads.html",['Music'],"['Go', 'Home', 'Productions', 'GHP', 'Mark', 'Vidler', 'Mash-Up', 'Queen', 'Black', 'Sabbath', 'We', 'Will', 'Rock', 'You', 'Paranoid']",120,0,,,https://www.youtube.com/watch?v=Qf5o-8eZdag,160937,1070,27.0,4.9015498,,,,,,
9,w3PT4kL1Q00,madmixmustang,MadMixMustang,http://www.youtube.com/user/MadMixMustang,UCsqavzHUkueT2-subBn6xTw,http://www.youtube.com/channel/UCsqavzHUkueT2-subBn6xTw,2011-08-22,,Michael Jackson,michael jackson vs james brown (mashup by madmixmustang),"michael jackson - the way you make me feel vs james brown - i got that feeling
http://www.facebook.com/madmixmustang

free download on: http://www.madmixmustang.nl

(copyrights of all music and movie extracts are the property of the original artists concerned)",['Music'],"['remix', 'mashup', 'cover', 'Mad', 'Mix', 'Mustang', 'Michael', 'Jackson', 'The', 'Way', 'You', 'Make', 'Me', 'Feel', 'James', 'Brown', 'Got', 'That', 'Feeling', 'funk', 'funky', 'king', 'of', 'pop', 'godfather', 'soul', 'new', 'news', '2011', 'braking', 'exclusive', 'music', 'happy', 'birthday', 'michael']",251,0,,,https://www.youtube.com/watch?v=w3PT4kL1Q00,310981,2198,75.0,4.8680158,,,,,,
